From 2022-01-01 to 2022-02-01,"Profits: 0.40790000000000504, Winrate: 42.22222222222222, Number of trades: 45"
From 2022-02-01 to 2022-03-01,"Profits: 0.797399999999989, Winrate: 52.94117647058824, Number of trades: 34"
From 2022-03-01 to 2022-04-01,"Profits: 0.23135000000000971, Winrate: 44.06779661016949, Number of trades: 59"
From 2022-04-01 to 2022-05-01,"Profits: -0.6607999999999734, Winrate: 28.846153846153843, Number of trades: 52"
From 2022-05-01 to 2022-06-01,"Profits: -0.5778000000000016, Winrate: 33.33333333333333, Number of trades: 33"
From 2022-06-01 to 2022-07-01,"Profits: -0.580400000000008, Winrate: 34.375, Number of trades: 32"
From 2022-07-01 to 2022-08-01,"Profits: 0.9597999999999942, Winrate: 51.28205128205128, Number of trades: 39"
From 2022-08-01 to 2022-09-01,"Profits: 0.11540000000000461, Winrate: 47.368421052631575, Number of trades: 38"
From 2022-09-01 to 2022-10-01,"Profits: -0.16890000000001137, Winrate: 34.48275862068966, Number of trades: 29"
From 2022-10-01 to 2022-11-01,"Profits: -0.3390499999999985, Winrate: 30.555555555555557, Number of trades: 36"
From 2022-11-01 to 2022-12-01,"Profits: 0.0417999999999914, Winrate: 34.285714285714285, Number of trades: 35"
